2.500000,-2.000000,-1.500000,-2.200000,2.800000,2.000000
-1.715478,-0.117601,2.089434,-3.093615,2.539600,1.351617
-1.608130,-0.587194,-1.437766,0.658756,-3.135731,1.785291
-1.719469,-1.955932,-0.949524,1.849900,3.111207,2.085718
-1.471226,-2.174546,-2.638471,0.907946,-3.092552,-0.766762
-1.503076,-2.309053,-1.955910,-0.600015,3.092802,-1.722846
-1.526050,-2.621427,-1.826836,0.490756,-3.134828,-0.816469
-1.523127,-1.579413,-3.024773,1.796012,3.108939,0.333411
-1.219439,-2.291614,-3.064217,-0.972811,2.809584,3.094513
-1.192984,1.230361,-1.175754,-0.154261,-2.764191,3.041766
-0.862275,-2.400372,0.397322,2.085999,-2.436546,-3.052360
-1.532458,0.300893,0.591520,-0.827475,-3.103358,-3.056223
-1.537859,1.872567,-1.215299,-0.648240,-3.108750,-3.132558
-1.577315,-1.853605,1.452986,0.411434,3.135075,-3.130771
-1.705322,2.003526,-1.664322,-0.551608,3.007074,2.929184
-2.176422,-2.113964,2.037179,0.809037,2.549569,-2.402651
1.784813,1.064107,-2.248475,-1.079520,0.957718,0.404251
1.373006,1.849364,-1.664647,2.915134,0.181202,-0.028031
1.089018,1.314354,-2.090473,-2.300191,0.481640,-0.066414
1.335295,1.004356,-1.494469,-2.620717,0.235022,-0.034709
1.250860,0.972976,-1.413083,-2.712392,0.319772,0.011214
1.254006,0.968725,-1.406741,-2.703675,0.316771,0.000104
